INSTNM,CITY,STABBR,INSTURL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,ACTCMMID,Agriculture,CIP03BACHL,Architecture,CIP05BACHL,Communications/Journalism,CIP10BACHL,Computer and Information Sciences,Culinary Services,Education,Engineering,CIP15BACHL,CIP16BACHL,CIP19BACHL,Legal Professions and Studies,English Language and Literature,Liberal Arts and Sciences,CIP25BACHL,Biological and Biomedical Sciences,Mathematics and Statistics,CIP29BACHL,CIP30BACHL,CIP31BACHL,Philosophy and Religious Studies,CIP39BACHL,CIP40BACHL,CIP41BACHL,Psychology,CIP43BACHL,CIP44BACHL,Social Sciences,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,Visual and Performing Arts,CIP51BACHL,Business,History,COSTT4_A
Northland Pioneer College,Holbrook,AZ,www.npc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13969
Ottawa University-Phoenix,Phoenix,AZ,www.ottawa.edu,NULL,0.994736842,NULL,NULL,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,2,2,2,NULL
Phoenix College,Phoenix,AZ,www.phoenixcollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12413
Cortiva Institute-Scottsdale,Scottsdale,AZ,www.cortiva.com/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Pima Community College,Tucson,AZ,www.pima.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7295
Pima Medical Institute-Tucson,Tucson,AZ,pmi.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NULL
Pima Medical Institute-Albuquerque,Albuquerque,NM,pmi.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Prescott College,Prescott,AZ,www.prescott.edu,0.6873,0.687258687,1073,24,2,2,2,2,0,0,0,0,2,0,0,0,1,0,1,2,0,2,0,0,2,1,0,0,2,0,2,0,1,2,0,0,0,0,2,2,2,0,41256
Refrigeration School Inc,Phoenix,AZ,refrigerationschool.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Rio Salado College,Tempe,AZ,www.rio.maricopa.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11855
Roberto-Venn School of Luthiery,Phoenix,AZ,www.roberto-venn.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Hair Academy of Safford,Safford,AZ,hairacademysafford.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Scottsdale Community College,Scottsdale,AZ,www.scottsdalecc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12461
South Mountain Community College,Phoenix,AZ,www.southmountaincc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12324
Arizona Christian University,Phoenix,AZ,www.arizonachristian.edu,0.5673,0.567272727,988,22,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,33945
Tucson College,Tucson,AZ,www.tucsoncollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Universal Technical Institute of Arizona Inc,Avondale,AZ,www.uti.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Western International University,Tempe,AZ,www.west.edu,NULL,NULL,NULL,NULL,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,9800
Empire Beauty School-NW Phoenix,Phoenix,AZ,www.empire.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Yavapai College,Prescott,AZ,www.YC.EDU,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11321
University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,0.5928,0.592804112,1048,23,0,0,0,0,2,0,1,0,1,1,1,1,0,0,1,2,0,1,2,0,1,0,1,0,1,0,2,2,1,1,0,0,0,0,1,2,2,1,22521
University of Arkansas for Medical Sciences,Little Rock,AR,www.uams.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NULL
ABC Beauty College Inc,Arkadelphia,AR,www.abc-beautycollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Arkansas Baptist College,Little Rock,AR,www.arkansasbaptist.edu,NULL,NULL,NULL,NULL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,19800
Arkansas Beauty School-Little Rock,Little Rock,AR,arkbeautyschool.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Arkansas Beauty College,Russellville,AR,www.arkansasbeautycollegersvlar.com/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Lyon College,Batesville,AR,www.lyon.edu,0.6142,0.614241803,1109,25,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,33605
Arkansas College of Barbering and Hair Design,North Little Rock,AR,www.arkansascollegeofbarbering.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,www.arthursbeautycollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
University of Arkansas,Fayetteville,AR,www.uark.edu,0.6204,0.620364517,1155,26,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,2,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,20350
University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,0.3868,0.386830103,886,19,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,15409
Arkansas State University-Beebe,Beebe,AR,www.asub.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12278
Arkansas State University-Main Campus,Jonesboro,AR,www2.astate.edu,0.7239,0.723948093,1088,24,1,2,0,0,1,1,1,0,1,1,2,1,0,0,1,1,0,1,1,0,2,1,1,0,1,0,1,2,1,1,0,0,0,0,1,1,2,1,19359
Arkansas Tech University,Russellville,AR,www.atu.edu,0.8626,0.862566074,1010,22,1,1,0,0,1,0,1,0,2,1,0,1,0,0,1,0,0,1,1,0,2,1,0,0,1,0,1,2,0,1,0,0,0,0,1,1,1,1,16518
University of Arkansas at Monticello,Monticello,AR,www.uamont.edu/,NULL,NULL,NULL,NULL,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,16071
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,arthursbeautycollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Baptist Health College-Little Rock,Little Rock,AR,https://www.bhclr.edu,0.6154,0.615384615,990,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24397
Black River Technical College,Pocahontas,AR,www.blackrivertech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11865
University of Central Arkansas,Conway,AR,www.uca.edu,0.9426,0.942635659,1049,23,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,2,0,1,0,1,1,0,0,0,0,1,1,1,1,18354
Central Baptist College,Conway,AR,www.cbc.edu,0.5697,0.569672131,985,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,21616
Cossatot Community College of the University of Arkansas,De Queen,AR,www.cccua.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11917
Crowley's Ridge College,Paragould,AR,www.crc.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18743
Crowley's Ridge Technical Institute,Forrest City,AR,www.crti.tec.ar.us,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7901
East Arkansas Community College,Forrest City,AR,WWW.EACC.EDU,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9084
Eastern College of Health Vocations-Little Rock,Little Rock,AR,www.easterncollege.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Imagine-Paul Mitchell Partner School,North Little Rock,AR,www.pmlittlerock.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
National Park Community College,Hot Springs,AR,www.np.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13433
University of Arkansas Community College-Batesville,Batesville,AR,www.uaccb.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8037
Harding University,Searcy,AR,www.harding.edu,0.9912,0.991185544,1131,25,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,2,1,26484
Henderson State University,Arkadelphia,AR,www.hsu.edu,0.6278,0.62783534,989,21,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,18679
Hendrix College,Conway,AR,www.hendrix.edu,0.8282,0.828228228,1244,28,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,52536
Hot Springs Beauty College,Hot Springs,AR,hotspringsbeautycollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,www.jrmc.org,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
John Brown University,Siloam Springs,AR,www.jbu.edu,0.6978,0.697751873,NULL,NULL,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,2,1,34776
Lees School of Cosmetology,North  Little Rock,AR,www.leesschool.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Career Academy of Hair Design,Springdale,AR,www.beautynwa.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Academy of Salon and Spa,Fort Smith,AR,www.academysalonspa.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Arkansas State University Mid-South,West Memphis,AR,www.midsouthcc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14258
Arkansas Northeastern College,Blytheville,AR,www.anc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13646
Margaret's Hair Academy Inc,Monticello,AR,margarethairacademy.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
New Tyler Barber College Inc,North Little Rock,AR,newtylerbarbercollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
North Arkansas College,Harrison,AR,www.northark.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9482
Northwest Technical Institute,Springdale,AR,www.nwti.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8533
Ouachita Baptist University,Arkadelphia,AR,www.obu.edu,0.7061,0.706120092,1112,25,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,32560
College of the Ouachitas,Malvern,AR,www.coto.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12227
Ozarka College,Melbourne,AR,www.ozarka.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11592
University of the Ozarks,Clarksville,AR,www.ozarks.edu,0.8892,0.889221557,1061,23,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,35438
University of Arkansas Community College-Morrilton,Morrilton,AR,www.uaccm.edu,0.6181,0.618106996,930,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10722
Philander Smith College,Little Rock,AR,www.philander.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,25061
Phillips Community College of the University of Arkansas,Helena,AR,www.pccua.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9886
Southeast Arkansas College,Pine Bluff,AR,www.seark.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8507
Professional Cosmetology Education Center,El Dorado,AR,www.pcec.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Pulaski Technical College,North Little Rock,AR,www.pulaskitech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15082
University of Arkansas Community College-Hope,Hope,AR,www.uacch.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14467
Rich Mountain Community College,Mena,AR,www.rmcc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12005
Paul Mitchell the School-Arkansas,Fayetteville,AR,www.pmtsarkansas.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Searcy Beauty College,Searcy,AR,searcybeautycollege.com/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Shorter College,N Little Rock,AR,www.shortercollege.org/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18205
Williams Baptist College,Walnut Ridge,AR,www.wbcoll.edu,0.7049,0.704861111,983,21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,23161
South Arkansas Community College,El Dorado,AR,www.southark.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15979
Southern Arkansas University Main Campus,Magnolia,AR,WWW.SAUMAG.EDU,0.7142,0.714228617,989,21,2,0,0,0,1,0,1,0,2,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,18887
Southern Arkansas University Tech,Camden,AR,www.sautech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15573
Velvatex College of Beauty Culture,Little Rock,AR,www.velvatexcollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
University of Arkansas-Fort Smith,Fort Smith,AR,uafs.edu/,0.5629,0.562859285,NULL,NULL,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,1,1,13983
Academy of Art University,San Francisco,CA,www.academyart.edu,NULL,NULL,NULL,NULL,0,0,2,0,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35919
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,www.itt-tech.edu,0.8599,0.853611521,NULL,NULL,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27550
Academy of Chinese Culture and Health Sciences,Oakland,CA,www.acchs.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,WWW.ARBRADIO.COM,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Avalon School of Cosmetology-Alameda,Alameda,CA,avalon.edu/locations/alameda-ca/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
College of Alameda,Alameda,CA,www.peralta.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10898
Allan Hancock College,Santa Maria,CA,www.hancockcollege.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,WWW.AADA.EDU,0.2016,0.289317507,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51614
American Baptist Seminary of the West,Berkeley,CA,www.absw.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
American Film Institute Conservatory,Los Angeles,CA,www.AFI.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
American Beauty College,West Covina,CA,www.american-beauty-college.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
American Career College-Los Angeles,Los Angeles,CA,americancareercollege.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
American Conservatory Theater,San Francisco,CA,www.act-sf.org,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
American River College,Sacramento,CA,www.arc.losrios.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12513
Antelope Valley College,Lancaster,CA,www.avc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11616
Art Center College of Design,Pasadena,CA,www.artcenter.edu,0.809,0.808988764,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57738
Associated Technical College-Los Angeles,Los Angeles,CA,www.atcla.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Associated Technical College-San Diego,San Diego,CA,www.associatedtechcollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Azusa Pacific University,Azusa,CA,www.apu.edu,0.8183,0.8183391,1037,23,0,0,0,1,1,0,2,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,2,2,1,45472
Bakersfield College,Bakersfield,CA,www.bakersfieldcollege.edu/,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10060
Barstow Community College,Barstow,CA,www.barstow.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14455
Bellus Academy-National City,National City,CA,www.bellusacademy.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Bethesda University,Anaheim,CA,www.buc.edu,0.6686,0.668604651,NULL,NULL,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13885
